policy_id,age,gender,start_date,deferral_years,initial_value,rider_type,has_death_benefit,death_benefit_type,has_beneficiary,me_fees,admin_fees,rider_fees,death_benefit_fees,total_fees,status
P00001,65,F,2023-12-18,15,94000,GMWB,True,ReturnOfPremium,True,0.012437284011806162,0.002897278403688846,0.011424942232632147,0.00398075965441023,0.030740264302537384,deferred
P00002,60,F,2021-10-24,5,98000,None,True,AccountValue,True,0.00936603555515876,0.001362523002901604,0.0,0.0,0.010728558558060363,deferred
P00003,67,M,2012-04-04,0,90000,GMIB,True,ReturnOfPremium,True,0.016034194285857922,0.0027709001340375117,0.008772768213205075,0.0032907258016509127,0.03086858843475142,payout
P00004,74,F,2016-01-20,15,145000,GMWB,True,SteppedUp,False,0.012123807047793558,0.001036403294321649,0.00743257559054064,0.0056461990904735065,0.026238985023129352,deferred
P00005,60,F,2019-10-18,15,91000,None,True,AccountValue,True,0.008205501120109357,0.002421777443841191,0.0,0.0,0.010627278563950548,deferred
P00006,60,M,2013-03-11,5,60000,None,True,AccountValue,True,0.009492189656130802,0.0010576187939574035,0.0,0.0,0.010549808450088205,payout
P00007,74,F,2006-03-25,15,61000,GMWB,True,ReturnOfPremium,True,0.013632410144687817,0.0025999526334685294,0.010002697510697791,0.0029356117547303688,0.029170672043584506,payout
P00008,68,F,2020-11-05,5,182000,None,True,AccountValue,True,0.00889510820880362,0.002933345768739436,0.0,0.0,0.011828453977543056,deferred
P00009,58,M,2021-12-13,10,59000,GMIB,True,AccountValue,True,0.015920014690032066,0.001467318315399523,0.011680334672270169,0.0,0.02906766767770176,deferred
P00010,66,F,2022-05-23,5,113000,None,True,AccountValue,True,0.010339269238775674,0.0019412502990244435,0.0,0.0,0.012280519537800117,deferred
P00011,58,M,2022-08-05,15,99000,GMIB,True,ReturnOfPremium,True,0.01327717543830935,0.002615389844932271,0.008021347096717642,0.0036785911096454617,0.027592503489604726,deferred
P00012,58,F,2005-03-19,0,111000,GMWB,True,AccountValue,True,0.014604144643900276,0.0025436753857398576,0.011391949271864118,0.0,0.02853976930150425,payout
P00013,63,M,2022-11-12,10,79000,None,False,None,False,0.00727938946865062,0.0022414484778236466,0.0,0.0,0.009520837946474266,deferred
P00014,46,M,2019-10-17,0,103000,GMIB,True,AccountValue,True,0.01372512081818953,0.00219409639848457,0.010138653007928228,0.0,0.02605787022460233,payout
P00015,48,F,2023-10-26,0,111000,GMWB,True,ReturnOfPremium,True,0.014780092570737827,0.002202313712319048,0.009456524146331894,0.003926629153072103,0.03036555958246087,payout
P00016,57,M,2023-08-08,10,56000,GMWB,False,None,False,0.008398450400637032,0.0021241778749584955,0.009791834010257638,0.0,0.020314462285853166,deferred
P00017,53,M,2024-06-13,10,62000,None,False,None,False,0.005104741656637941,0.0029761144578372245,0.0,0.0,0.008080856114475166,deferred
P00018,64,M,2017-07-28,20,88000,None,False,None,False,0.008742533724274972,0.0028984472967352078,0.0,0.0,0.01164098102101018,deferred
P00019,54,M,2017-11-12,0,132000,None,True,AccountValue,True,0.009898102762041982,0.0016709828007562542,0.0,0.0,0.011569085562798237,payout
P00020,50,F,2022-03-15,0,61000,GMWB,True,ReturnOfPremium,True,0.012877857432387195,0.0011426668108756837,0.011467475230922211,0.003766443852510927,0.02925444332669602,payout
P00021,73,M,2018-02-08,20,80000,GMWB,False,None,False,0.010810969660469362,0.0019167675874197842,0.007225720174086783,0.0,0.019953457421975927,deferred
P00022,60,F,2022-06-10,0,113000,GMIB,True,ReturnOfPremium,True,0.015716931212746078,0.0023387429268205526,0.009955871031777069,0.0031558462041837492,0.03116739137552745,payout
P00023,62,M,2020-10-05,10,118000,GMIB,False,None,False,0.009088687474576636,0.0025336074205371643,0.009259890366812355,0.0,0.020882185261926155,deferred
P00024,50,M,2020-02-01,10,56000,GMIB,True,AccountValue,True,0.01597015420794602,0.0024517484529126632,0.0098295936484936,0.0,0.02825149630935228,deferred
P00025,57,M,2019-11-27,15,67000,None,True,AccountValue,True,0.009089778845426959,0.002965585310296086,0.0,0.0,0.012055364155723045,deferred
